# Simulation 13 (Up to date),,,,,,,,,,,,,,,,,,,
# 896 data points written for 4 variables.,,,,,,,,,,,,,,,,,,,
# Simulation warnings:,,,,,,,,,,,,,,,,,,,
#   Recovery device deployment at high speed (24.6 m/s),,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),,,,,,,,,,,,,,,,
# Event IGNITION occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,
# Event LAUNCH occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,
4,768.892,322.26,-6.921,6062.037138,-2922.037138,,,,,,,,,,,,,,
4.05,784.981,321.295,-19.1,6046.473203,-2906.473203,,,,,,,,,,,,,,
4.1,801.013,319.973,-26.202,6019.296421,-2879.296421,,,,,,,,,,,,,,
4.15,816.972,318.391,-31.351,5983.78285,-2843.78285,,,,,,,,,,,,,,
4.2,832.85,316.738,-32.756,5946.150746,-2806.150746,,,,,,,,,,,,,,
4.25,848.644,315.019,-34.075,5906.59356,-2766.59356,,,,,,,,,,,,,,
4.3,864.35,313.235,-35.373,5865.173916,-2725.173916,,,,,,,,,,,,,,
4.35,879.965,311.387,-36.656,5821.956018,-2681.956018,,,,,,,,,,,,,,
4.4,895.485,309.416,-39.081,5775.110946,-2635.110946,,,,,,,,,,,,,,
4.45,910.902,307.254,-42.883,5722.574809,-2582.574809,,,,,,,,,,,,,,
4.5,926.206,304.904,-46.625,5664.557132,-2524.557132,,,,,,,,,,,,,,
4.55,941.39,302.476,-48.116,5604.577083,-2464.577083,,,,,,,,,,,,,,
4.6,956.454,300.081,-47.287,5546.087362,-2406.087362,,,,,,,,,,,,,,
4.65,971.398,297.725,-46.544,5489.245891,-2349.245891,,,,,,,,,,,,,,
4.7,986.226,295.404,-45.854,5433.908121,-2293.908121,,,incorrect RK4 method you forgot the 2 idiot),,,,,correct RK4 method,,,,,correct method with higher CD,
# Event BURNOUT occurred at t=4.729 seconds,,,,h_peak = h_current + V^2/2g,#VALUE!,,t,V(t),994.834,,,t,V(t),994.834,,,t,V(t),994.834
4.729,994.834,294.064,-45.569,5402.256839,-2262.256839,,4.729,294.06,997.7746,,,4.729,294.06,997.7746,,,4.729,294.06,997.7746
4.773,1007.671,292.082,-44.827,5355.88174,-2215.88174,,4.739,293.478,1000.70938,,,4.739,293.72,1000.7118,,,4.739,293.682,1000.71142
4.823,1022.22,289.864,-43.899,5304.642961,-2164.642961,,4.749,292.899,1003.63837,,,4.749,293.38,1003.6456,,,4.749,293.305,1003.64447
4.873,1036.658,287.691,-43,5255.114243,-2115.114243,,4.759,292.321,1006.56158,,,4.759,293.041,1006.57601,,,4.759,292.929,1006.57376
4.923,1050.99,285.563,-42.145,5207.270681,-2067.270681,,4.769,291.745,1009.47903,,,4.769,292.703,1009.50304,,,4.769,292.553,1009.49929
4.973,1065.215,283.476,-41.349,5160.966406,-2020.966406,,4.779,291.171,1012.39074,,,4.779,292.365,1012.42669,,,4.779,292.179,1012.42108
5.023,1079.338,281.427,-40.601,5116.094184,-1976.094184,,4.789,290.598,1015.29672,,,4.789,292.028,1015.34697,,,4.789,291.804,1015.33912
5.073,1093.359,279.415,-39.874,5072.601723,-1932.601723,,4.799,290.028,1018.197,,,4.799,291.691,1018.26388,,,4.799,291.431,1018.25343
5.123,1107.28,277.439,-39.164,5030.439976,-1890.439976,,4.809,289.459,1021.09159,,,4.809,291.355,1021.17743,,,4.809,291.058,1021.16401
5.173,1121.103,275.498,-38.506,4989.561104,-1849.561104,,4.819,288.893,1023.98052,,,4.819,291.019,1024.08762,,,4.819,290.686,1024.07087
5.223,1134.83,273.588,-37.9,4949.834778,-1809.834778,,4.829,288.328,1026.8638,,,4.829,290.684,1026.99446,,,4.829,290.315,1026.97402
5.273,1148.462,271.708,-37.308,4911.216193,-1771.216193,,4.839,287.765,1029.74145,,,4.839,290.349,1029.89795,,,4.839,289.944,1029.87346
5.323,1162.001,269.857,-36.718,4873.662593,-1733.662593,,4.849,287.204,1032.61349,,,4.849,290.015,1032.7981,,,4.849,289.574,1032.7692
5.373,1175.449,268.036,-36.118,4837.186885,-1697.186885,,4.859,286.644,1035.47993,,,4.859,289.682,1035.69492,,,4.859,289.205,1035.66125
5.423,1188.806,266.244,-35.577,4801.745222,-1661.745222,,4.869,286.086,1038.34079,,,4.869,289.349,1038.58841,,,4.869,288.837,1038.54962
5.473,1202.074,264.478,-35.088,4767.242832,-1627.242832,,4.879,285.531,1041.1961,,,4.879,289.017,1041.47858,,,4.879,288.469,1041.43431
